index,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,target,target_by_group
B2C2-t_Ta,73,5,6,5,1.5,0.323,13.1,7.5496,1.58,3290,5731,16650,180.95,194,1.798424,3.267116,2.147952,2.152481,2.16924,2.234725,0.057535,2.694229,-0.263557,2
B2C2-t_W ,74,6,6,6,2.36,0.8163,11.1,7.864,1.5,3695,5828,19250,183.84,197,1.727356,3.195288,2.079735,2.082078,2.08997,2.091871,0.056965,2.735551,-0.329348,2
B2C2-t_Re,75,7,6,7,1.9,0.0604,9.7,7.8335,1.41,3459,5869,21020,186.21,196,1.693671,3.117772,2.057771,2.059088,2.05969,2.061603,0.05894,2.552003,-0.014906,0
B2C2-t_Os,76,8,6,8,2.2,1.1,8.5,8.4382,1.36,3306,5285,22610,190.23,191,1.671643,2.416466,1.997924,2.019213,2.115214,2.125634,0.063302,2.225293,0.039712,0
B2C2-t_Ir,77,9,6,9,2.2,1.5644,7.6,8.967,1.32,2739,4701,22650,192.22,192,1.629001,2.201345,2.003647,2.009898,2.122648,2.145853,0.071276,1.689209,-0.014281,0
B2C2-t_Pt,78,10,6,10,2.28,2.1251,6.5,8.9588,1.3,2041.4,4098,21090,195.08,193,1.607091,2.153938,2.055196,2.069138,2.097252,2.12292,0.077019,1.335592,0.499757,2
B2C2-t_Au,79,11,6,11,2.54,2.3086,5.8,9.2255,1.3,1337.33,3129,19300,196.97,194,1.971329,1.252182,2.017098,2.020273,2.044066,2.179089,0.025942,4.7832,-0.424988,2
C3_Sc,21,3,4,3,1.36,0.188,17.8,6.5615,1.59,1814,3103,2985,44.956,200,1.906501,3.317702,2.140928,2.144047,2.200844,2.831923,0.104608,3.280517,1.047357,2
C3_Ti,22,4,4,4,1.54,0.084,14.6,6.8281,1.48,1941,3560,4507,47.867,201,1.793594,3.403333,1.97591,1.97978,1.979963,2.887008,0.143884,3.614083,0.729739,2
C3_V ,23,5,4,5,1.63,0.5277,12.4,6.7462,1.44,2183,3680,6110,50.942,202,1.710124,3.183536,1.875099,1.875964,1.876244,2.793764,0.151517,3.666211,0.141183,1
C3_Cr,24,6,4,6,1.66,0.6758,11.6,6.7665,1.3,2180,2944,7140,51.996,201,1.66105,3.116931,1.857418,1.857419,1.86115,2.796949,0.157495,3.462003,0.347516,2
C3_Mn,25,7,4,7,1.55,-0.52,9.4,7.434,1.29,1519,2334,7470,54.938,202,1.62059,3.025451,1.819377,1.819491,1.821864,2.756684,0.160415,3.416494,-0.050484,0
C3_Fe,26,8,4,8,1.83,0.1532,8.4,7.9024,1.24,1811,3134,7874,55.845,197,1.569002,2.902155,1.76882,1.768829,1.774227,2.729915,0.168094,3.356245,0.085153,0
C3_Co,27,9,4,9,1.88,0.6623,7.5,7.881,1.18,1768,3200,8900,58.933,198,1.556733,2.885765,1.763466,1.763552,1.768023,2.713857,0.167418,3.293191,0.07119,0
C3_Ni,28,10,4,10,1.91,1.1572,6.8,7.6398,1.17,1728,3186,8908,58.693,199,1.548591,2.351564,1.808009,1.825808,1.825965,2.713878,0.158282,2.703754,0.55741,2
C3_Cu,29,11,4,11,1.9,1.2358,6.2,7.7264,1.22,1357.77,3200,8920,63.546,200,1.522557,2.677596,1.882309,1.930084,1.931629,2.806345,0.157206,1.540268,0.444195,2
C3_Zn,30,12,4,12,1.65,-0.62,5.75,9.3942,1.2,692.68,1180,7140,65.38,201,1.549875,3.31634,2.039939,2.122177,2.123341,2.964871,0.14904,1.072249,0.167762,1
C3_Y ,39,3,5,3,1.22,0.307,22.7,6.2173,1.76,1799,3618,4472,88.906,200,2.052365,3.47578,2.279598,2.282421,2.364822,2.954529,0.095156,3.378856,0.982212,2
C3_Zr,40,4,5,4,1.33,0.4333,17.9,6.6339,1.64,2128,4682,6511,91.224,201,1.968734,3.743531,2.117871,2.117942,2.118303,3.018826,0.132342,3.809472,0.872743,2
C3_Nb,41,5,5,5,1.6,0.9174,15.7,6.7589,1.56,2750,5017,8570,92.906,202,1.863381,3.478861,1.992358,1.998269,1.998365,2.903003,0.139824,3.833674,0.077853,0
C3_Mo,42,6,5,6,2.16,0.7473,12.8,7.0924,1.46,2896,4912,10280,95.95,203,1.795061,3.37133,1.963454,1.963506,1.967385,2.903991,0.148264,3.684226,0.316302,2
C3_Tc,43,7,5,7,1.9,0.55,11.4,7.28,1.38,2430,4538,11500,98,202,1.797664,3.272308,1.933849,1.934015,1.934588,2.868582,0.14803,3.808812,-0.015492,0
C3_Ru,44,8,5,8,2.2,1.0464,9.6,7.3605,1.36,2607,4423,12370,101.07,203,1.688008,3.151947,1.879078,1.879178,1.884221,2.841196,0.158648,3.510503,0.22497,2
C3_Rh,45,9,5,9,2.28,1.1429,8.6,7.4589,1.34,2237,3968,12450,102.91,204,1.681367,3.15583,1.88435,1.884621,1.889714,2.823927,0.155674,3.431201,0.076912,0
C3_Pd,46,10,5,10,2.2,0.5621,4.8,8.3369,1.3,1828.05,3236,12023,106.42,199,1.672486,2.804722,1.948041,1.948656,2.000916,2.85129,0.1472,2.698709,0.536714,2
C3_Ag,47,11,5,11,1.93,1.3045,6.78,7.5762,1.36,1234.93,2435,10490,107.87,200,1.653565,3.211674,2.107394,2.246769,2.267475,3.014311,0.135698,1.14126,0.203909,2
C3_Cd,48,12,5,12,1.69,-0.725,7.36,8.9938,1.4,594.22,1040,8650,112.41,201,1.684073,3.795522,2.350465,2.350479,2.359756,3.152586,0.129964,1.016433,-0.021108,0
C3_Hf,72,4,6,4,1.3,0.017,16.2,6.8251,1.64,2506,4876,13310,178.49,199,1.862476,3.468304,2.00225,2.002583,2.002967,2.933056,0.142991,3.812739,0.679356,2
C3_Ta,73,5,6,5,1.5,0.323,13.1,7.5496,1.58,3290,5731,16650,180.95,200,1.79875,3.35903,1.969962,1.974267,2.032396,2.925333,0.146755,3.554256,-0.407069,2
C3_W ,74,6,6,6,2.36,0.8163,11.1,7.864,1.5,3695,5828,19250,183.84,203,1.799883,3.339952,1.946333,1.949093,1.949488,2.873069,0.146322,3.769274,-0.25691,2
C3_Re,75,7,6,7,1.9,0.0604,9.7,7.8335,1.41,3459,5869,21020,186.21,202,1.748089,3.255166,1.916432,1.919434,1.919747,2.87551,0.15409,3.661002,-0.568577,2
C3_Os,76,8,6,8,2.2,1.1,8.5,8.4382,1.36,3306,5285,22610,190.23,197,1.705998,3.18854,1.897842,1.89786,1.901447,2.867047,0.158324,3.521158,-0.395706,2
C3_Ir,77,9,6,9,2.2,1.5644,7.6,8.967,1.32,2739,4701,22650,192.22,198,1.684011,3.183163,1.906512,1.906572,1.909685,2.855269,0.156472,3.305775,-0.578735,2
C3_Pt,78,10,6,10,2.28,2.1251,6.5,8.9588,1.3,2041.4,4098,21090,195.08,199,1.686774,2.917426,1.952756,1.97598,1.977938,2.86649,0.148089,2.826696,0.058999,0
C3_Au,79,11,6,11,2.54,2.3086,5.8,9.2255,1.3,1337.33,3129,19300,196.97,200,1.641619,3.018452,2.068609,2.140194,2.14207,2.938921,0.137702,1.291913,-0.496832,2
N3_Sc,21,3,4,3,1.36,0.188,17.8,6.5615,1.59,1814,3103,2985,44.956,203,1.878494,3.565445,2.051218,2.05504,2.055384,2.902278,0.130464,3.693415,-0.579006,2
N3_Ti,22,4,4,4,1.54,0.084,14.6,6.8281,1.48,1941,3560,4507,47.867,204,1.780087,3.299958,1.93392,1.934252,1.939435,2.831454,0.14351,3.735552,-0.574393,2
N3_V ,23,5,4,5,1.63,0.5277,12.4,6.7462,1.44,2183,3680,6110,50.942,205,1.709301,3.173839,1.890085,1.891065,1.891687,2.793753,0.149093,3.58629,-0.383628,2
N3_Cr,24,6,4,6,1.66,0.6758,11.6,6.7665,1.3,2180,2944,7140,51.996,204,1.638096,2.960489,1.79803,1.798343,1.808324,2.730216,0.158726,3.641634,-0.337329,2
N3_Mn,25,7,4,7,1.55,-0.52,9.4,7.434,1.29,1519,2334,7470,54.938,205,1.594647,2.893043,1.779265,1.779621,1.779682,2.705197,0.161337,3.493477,0.311031,2
N3_Fe,26,8,4,8,1.83,0.1532,8.4,7.9024,1.24,1811,3134,7874,55.845,200,1.563739,2.64014,1.81699,1.818386,1.853075,2.712002,0.1555,2.784414,0.157781,1
N3_Co,27,9,4,9,1.88,0.6623,7.5,7.881,1.18,1768,3200,8900,58.933,201,1.565006,3.068961,1.8998,1.900368,1.901248,2.786217,0.154325,2.084453,0.102309,1
N3_Ni,28,10,4,10,1.91,1.1572,6.8,7.6398,1.17,1728,3186,8908,58.693,202,1.525025,2.747963,1.929861,1.930149,1.939931,2.799078,0.152956,1.434153,0.076494,0
N3_Cu,29,11,4,11,1.9,1.2358,6.2,7.7264,1.22,1357.77,3200,8920,63.546,203,1.498755,2.867252,1.937647,2.038212,2.038987,2.825472,0.146562,1.111204,0.328294,2
N3_Zn,30,12,4,12,1.65,-0.62,5.75,9.3942,1.2,692.68,1180,7140,65.38,204,1.525485,3.236296,2.036167,2.036371,2.036722,2.885194,0.148519,1.093787,-0.794038,2
N3_Y ,39,3,5,3,1.22,0.307,22.7,6.2173,1.76,1799,3618,4472,88.906,203,2.059999,3.931659,2.199723,2.205126,2.205461,3.024847,0.117282,3.844197,-0.315009,2
N3_Zr,40,4,5,4,1.33,0.4333,17.9,6.6339,1.64,2128,4682,6511,91.224,204,1.93548,3.591754,2.048564,2.051743,2.051965,2.939332,0.133111,3.889179,-0.679238,2
N3_Nb,41,5,5,5,1.6,0.9174,15.7,6.7589,1.56,2750,5017,8570,92.906,205,1.847996,3.434791,1.99622,2.004167,2.004206,2.910175,0.140786,3.76497,-0.730905,2
N3_Mo,42,6,5,6,2.16,0.7473,12.8,7.0924,1.46,2896,4912,10280,95.95,206,1.767584,3.235116,1.91506,1.915306,1.915895,2.853542,0.150484,3.76175,-0.684863,2
N3_Tc,43,7,5,7,1.9,0.55,11.4,7.28,1.38,2430,4538,11500,98,205,1.706583,3.167751,1.896745,1.900042,1.900242,2.821651,0.151898,3.525142,-0.461315,2
N3_Ru,44,8,5,8,2.2,1.0464,9.6,7.3605,1.36,2607,4423,12370,101.07,206,1.662031,2.672896,1.916632,1.916924,2.055359,2.82848,0.145017,2.615523,-0.173525,1
N3_Rh,45,9,5,9,2.28,1.1429,8.6,7.4589,1.34,2237,3968,12450,102.91,207,1.647043,3.37033,2.056169,2.058888,2.059147,2.898215,0.140739,1.614476,0.363959,2
N3_Pd,46,10,5,10,2.2,0.5621,4.8,8.3369,1.3,1828.05,3236,12023,106.42,202,1.564869,2.864449,2.087869,2.151121,2.207423,2.946242,0.140662,1.045047,-0.09994,0
N3_Ag,47,11,5,11,1.93,1.3045,6.78,7.5762,1.36,1234.93,2435,10490,107.87,203,1.616503,3.479827,2.222676,2.425852,2.426461,3.047513,0.145911,1.010637,0.656169,2
N3_Cd,48,12,5,12,1.69,-0.725,7.36,8.9938,1.4,594.22,1040,8650,112.41,204,1.671027,3.716172,2.301291,2.302865,2.305318,3.11505,0.13269,1.029108,-0.484528,2
N3_Hf,72,4,6,4,1.3,0.017,16.2,6.8251,1.64,2506,4876,13310,178.49,202,1.911822,3.514565,2.009561,2.01384,2.014131,2.912492,0.136279,3.915442,-0.878291,2
N3_Ta,73,5,6,5,1.5,0.323,13.1,7.5496,1.58,3290,5731,16650,180.95,203,1.838341,3.349544,1.951982,1.957874,1.95824,2.894004,0.146016,3.869464,-1.037416,2
N3_W ,74,6,6,6,2.36,0.8163,11.1,7.864,1.5,3695,5828,19250,183.84,206,1.772567,3.221048,1.909623,1.909978,1.910174,2.860183,0.152024,3.79975,-1.101733,2
N3_Re,75,7,6,7,1.9,0.0604,9.7,7.8335,1.41,3459,5869,21020,186.21,205,1.72104,3.193943,1.90666,1.914909,1.914916,2.848801,0.152826,3.541315,-1.011868,2
N3_Os,76,8,6,8,2.2,1.1,8.5,8.4382,1.36,3306,5285,22610,190.23,200,1.692467,2.852601,1.933583,1.9338,2.057758,2.838178,0.142891,2.81446,-0.663094,2
N3_Ir,77,9,6,9,2.2,1.5644,7.6,8.967,1.32,2739,4701,22650,192.22,201,1.626876,2.740382,1.977505,1.983368,2.098329,2.835841,0.139035,1.763709,-1.120927,2
N3_Pt,78,10,6,10,2.28,2.1251,6.5,8.9588,1.3,2041.4,4098,21090,195.08,202,1.592159,2.985161,2.136849,2.137152,2.143015,2.953941,0.138887,1.075462,-1.054563,2
N3_Au,79,11,6,11,2.54,2.3086,5.8,9.2255,1.3,1337.33,3129,19300,196.97,203,1.57094,3.759438,2.204437,2.726529,2.748734,3.017996,0.184548,1.004517,-0.666275,2
BN-sv_Sc,21,3,4,3,1.36,0.188,17.8,6.5615,1.59,1814,3103,2985,44.956,209,1.974285,3.005123,2.005097,2.005332,2.023843,2.960757,0.139825,3.988696,2.030693,2
BN-sv_Ti,22,4,4,4,1.54,0.084,14.6,6.8281,1.48,1941,3560,4507,47.867,210,1.758778,3.127839,1.862554,1.862561,1.864162,2.839385,0.157429,3.890048,-0.655794,2
BN-sv_V ,23,5,4,5,1.63,0.5277,12.4,6.7462,1.44,2183,3680,6110,50.942,211,1.68953,2.999631,1.823988,1.835248,1.836223,2.812724,0.162674,3.756879,-0.378513,2
BN-sv_Cr,24,6,4,6,1.66,0.6758,11.6,6.7665,1.3,2180,2944,7140,51.996,210,1.6302,2.948217,1.808773,1.808782,1.809029,2.792579,0.167058,3.555597,-0.004963,0
BN-sv_Mn,25,7,4,7,1.55,-0.52,9.4,7.434,1.29,1519,2334,7470,54.938,211,1.569962,2.843608,1.776735,1.777035,1.777217,2.765607,0.172201,3.316613,0.313342,2
BN-sv_Fe,26,8,4,8,1.83,0.1532,8.4,7.9024,1.24,1811,3134,7874,55.845,206,1.523911,2.78132,1.763612,1.76362,1.763649,2.749752,0.174988,2.976851,0.027248,0
BN-sv_Co,27,9,4,9,1.88,0.6623,7.5,7.881,1.18,1768,3200,8900,58.933,207,1.521315,2.535156,1.762611,1.762734,1.808411,2.737071,0.17069,2.802258,0.750372,2
BN-sv_Ni,28,10,4,10,1.91,1.1572,6.8,7.6398,1.17,1728,3186,8908,58.693,208,1.496628,2.519371,1.801095,1.80244,1.815757,2.74161,0.167766,2.198172,0.90597,2
BN-sv_Cu,29,11,4,11,1.9,1.2358,6.2,7.7264,1.22,1357.77,3200,8920,63.546,209,1.562513,3.000965,1.88187,1.882415,1.882433,2.840704,0.165318,2.23497,1.521587,2
BN-sv_Zn,30,12,4,12,1.65,-0.62,5.75,9.3942,1.2,692.68,1180,7140,65.38,210,1.537502,3.265196,2.055483,2.057825,2.057939,2.995533,0.159689,1.086913,1.299726,2
BN-sv_Y ,39,3,5,3,1.22,0.307,22.7,6.2173,1.76,1799,3618,4472,88.906,209,2.132936,3.153785,2.142652,2.142739,2.166804,3.07137,0.12698,3.996861,2.016829,2
BN-sv_Zr,40,4,5,4,1.33,0.4333,17.9,6.6339,1.64,2128,4682,6511,91.224,210,1.933921,3.472669,2.004815,2.004842,2.006017,2.973526,0.144446,3.961006,-0.835428,2
BN-sv_Nb,41,5,5,5,1.6,0.9174,15.7,6.7589,1.56,2750,5017,8570,92.906,211,1.840189,3.31135,1.95948,1.963545,1.964422,2.932438,0.150172,3.858216,-0.769736,2
BN-sv_Mo,42,6,5,6,2.16,0.7473,12.8,7.0924,1.46,2896,4912,10280,95.95,212,1.761531,3.239644,1.936487,1.93649,1.936822,2.913744,0.155789,3.645777,-0.545722,2
BN-sv_Tc,43,7,5,7,1.9,0.55,11.4,7.28,1.38,2430,4538,11500,98,211,1.690364,3.128002,1.9022,1.905905,1.906109,2.880012,0.160064,3.375767,-0.503597,2
BN-sv_Ru,44,8,5,8,2.2,1.0464,9.6,7.3605,1.36,2607,4423,12370,101.07,212,1.634779,3.063431,1.8924,1.892415,1.892453,2.866567,0.163253,2.972495,-0.441862,2
BN-sv_Rh,45,9,5,9,2.28,1.1429,8.6,7.4589,1.34,2237,3968,12450,102.91,213,1.645285,2.803926,1.894639,1.897383,1.964812,2.853388,0.15646,2.834046,0.739281,2
BN-sv_Pd,46,10,5,10,2.2,0.5621,4.8,8.3369,1.3,1828.05,3236,12023,106.42,208,1.593365,2.518614,1.929796,1.929984,2.01775,2.861017,0.153821,1.893025,0.184007,1
BN-sv_Ag,47,11,5,11,1.93,1.3045,6.78,7.5762,1.36,1234.93,2435,10490,107.87,209,1.659317,3.449404,2.13735,2.137375,2.138647,3.051963,0.148685,1.281262,1.449463,2
BN-sv_Cd,48,12,5,12,1.69,-0.725,7.36,8.9938,1.4,594.22,1040,8650,112.41,210,1.876289,2.641358,2.113714,2.123336,2.237536,3.059369,0.136249,3.044951,0.370624,2
BN-sv_Hf,72,4,6,4,1.3,0.017,16.2,6.8251,1.64,2506,4876,13310,178.49,208,1.912573,3.421162,1.984411,1.984421,1.985412,2.956851,0.146368,3.958998,-0.945349,2
BN-sv_Ta,73,5,6,5,1.5,0.323,13.1,7.5496,1.58,3290,5731,16650,180.95,209,1.83718,3.292371,1.958179,1.96094,1.96096,2.93037,0.150427,3.85634,-1.010104,2
BN-sv_W ,74,6,6,6,2.36,0.8163,11.1,7.864,1.5,3695,5828,19250,183.84,212,1.769137,3.24874,1.94367,1.943672,1.943676,2.92685,0.156065,3.651755,-0.951859,2
BN-sv_Re,75,7,6,7,1.9,0.0604,9.7,7.8335,1.41,3459,5869,21020,186.21,211,1.708303,3.169582,1.921968,1.922083,1.925842,2.902626,0.159228,3.386793,-0.982336,2
BN-sv_Os,76,8,6,8,2.2,1.1,8.5,8.4382,1.36,3306,5285,22610,190.23,206,1.659226,3.116003,1.9175,1.917506,1.917612,2.896186,0.161928,3.000354,-0.982031,2
BN-sv_Ir,77,9,6,9,2.2,1.5644,7.6,8.967,1.32,2739,4701,22650,192.22,207,1.657911,2.863691,1.918342,1.918382,1.993645,2.868609,0.153952,2.745169,0.139316,1
BN-sv_Pt,78,10,6,10,2.28,2.1251,6.5,8.9588,1.3,2041.4,4098,21090,195.08,208,1.606186,2.544846,1.935387,1.93541,2.040601,2.861335,0.151374,1.942412,-0.532743,2
BN-sv_Au,79,11,6,11,2.54,2.3086,5.8,9.2255,1.3,1337.33,3129,19300,196.97,209,1.595468,2.68606,2.026283,2.059733,2.060205,2.960355,0.153232,1.312697,-0.073139,0
BN-dv_Sc,21,3,4,3,1.36,0.188,17.8,6.5615,1.59,1814,3103,2985,44.956,204,1.866705,3.301655,1.997163,1.998184,2.665454,2.671661,0.153127,2.874434,-0.312393,2
BN-dv_Ti,22,4,4,4,1.54,0.084,14.6,6.8281,1.48,1941,3560,4507,47.867,205,1.752807,3.064808,1.91993,1.922551,2.395635,2.401322,0.12318,2.790171,-0.504241,2
BN-dv_V ,23,5,4,5,1.63,0.5277,12.4,6.7462,1.44,2183,3680,6110,50.942,206,1.686429,3.033135,1.871982,1.875291,2.325156,2.340057,0.123904,2.67521,-0.19132,1
BN-dv_Cr,24,6,4,6,1.66,0.6758,11.6,6.7665,1.3,2180,2944,7140,51.996,205,1.660368,2.527427,1.88588,1.886094,2.26413,2.265851,0.109423,2.501744,0.034791,0
BN-dv_Mn,25,7,4,7,1.55,-0.52,9.4,7.434,1.29,1519,2334,7470,54.938,206,1.748537,1.271083,1.85413,1.908653,2.158542,2.297731,0.094152,3.217302,-0.436204,2
BN-dv_Fe,26,8,4,8,1.83,0.1532,8.4,7.9024,1.24,1811,3134,7874,55.845,201,1.621036,1.360273,1.822117,1.93947,1.992077,2.193908,0.080323,2.609706,0.010978,0
BN-dv_Co,27,9,4,9,1.88,0.6623,7.5,7.881,1.18,1768,3200,8900,58.933,202,1.586015,1.326558,1.830439,1.884865,2.085887,2.189521,0.092875,2.205266,-0.408507,2
BN-dv_Ni,28,10,4,10,1.91,1.1572,6.8,7.6398,1.17,1728,3186,8908,58.693,203,1.546987,1.32544,1.846304,1.904065,2.071111,2.155839,0.087613,1.746869,-0.675554,2
BN-dv_Cu,29,11,4,11,1.9,1.2358,6.2,7.7264,1.22,1357.77,3200,8920,63.546,204,1.555051,1.294189,1.855763,1.905211,2.072035,2.203985,0.091576,1.773023,-0.392432,2
BN-dv_Zn,30,12,4,12,1.65,-0.62,5.75,9.3942,1.2,692.68,1180,7140,65.38,205,2.017345,1.235753,1.873958,1.895371,2.162795,2.336243,0.074813,3.725651,0.984907,2
BN-dv_Y ,39,3,5,3,1.22,0.307,22.7,6.2173,1.76,1799,3618,4472,88.906,204,2.035164,3.551722,2.138853,2.140478,2.81677,2.822117,0.14348,2.958197,-0.217626,2
BN-dv_Zr,40,4,5,4,1.33,0.4333,17.9,6.6339,1.64,2128,4682,6511,91.224,205,1.908804,3.352251,2.050412,2.050802,2.480731,2.487187,0.105073,3.062415,-0.518924,2
BN-dv_Nb,41,5,5,5,1.6,0.9174,15.7,6.7589,1.56,2750,5017,8570,92.906,206,1.81935,3.254142,1.978824,1.984188,2.348092,2.372338,0.098891,3.024273,-0.191427,1
BN-dv_Mo,42,6,5,6,2.16,0.7473,12.8,7.0924,1.46,2896,4912,10280,95.95,207,1.736513,3.156487,1.973052,1.983901,2.249298,2.282634,0.086407,2.652854,-0.475645,2
BN-dv_Tc,43,7,5,7,1.9,0.55,11.4,7.28,1.38,2430,4538,11500,98,206,1.706388,2.784618,1.996784,2.000094,2.196369,2.196986,0.070262,2.429781,-0.062617,0
BN-dv_Ru,44,8,5,8,2.2,1.0464,9.6,7.3605,1.36,2607,4423,12370,101.07,207,1.643357,2.466373,1.980918,1.981017,2.15155,2.158409,0.06936,1.93953,-0.222435,2
BN-dv_Rh,45,9,5,9,2.28,1.1429,8.6,7.4589,1.34,2237,3968,12450,102.91,208,1.676591,1.404541,1.972962,2.012336,2.089835,2.151763,0.062976,2.405848,-0.991715,2
BN-dv_Pd,46,10,5,10,2.2,0.5621,4.8,8.3369,1.3,1828.05,3236,12023,106.42,203,1.65636,1.368855,1.997515,2.066198,2.087607,2.158107,0.067591,1.902527,-0.859284,2
BN-dv_Ag,47,11,5,11,1.93,1.3045,6.78,7.5762,1.36,1234.93,2435,10490,107.87,204,1.702013,1.303091,1.998043,2.065546,2.095761,2.237027,0.067199,2.337137,-0.534225,2
BN-dv_Cd,48,12,5,12,1.69,-0.725,7.36,8.9938,1.4,594.22,1040,8650,112.41,205,1.681348,3.703772,2.237132,2.237204,2.845326,2.846644,0.16086,1.067344,1.494726,2
BN-dv_Hf,72,4,6,4,1.3,0.017,16.2,6.8251,1.64,2506,4876,13310,178.49,203,1.886104,3.270778,2.021661,2.027156,2.446453,2.476894,0.106838,3.051918,-0.868267,2
BN-dv_Ta,73,5,6,5,1.5,0.323,13.1,7.5496,1.58,3290,5731,16650,180.95,204,1.812746,3.206762,1.9695,1.973632,2.326073,2.345325,0.095996,3.072663,-0.423445,2
BN-dv_W ,74,6,6,6,2.36,0.8163,11.1,7.864,1.5,3695,5828,19250,183.84,207,1.745372,3.17485,1.965946,1.979954,2.222879,2.271947,0.082541,2.821935,-0.909687,2
BN-dv_Re,75,7,6,7,1.9,0.0604,9.7,7.8335,1.41,3459,5869,21020,186.21,206,1.705834,2.966637,2.007879,2.008318,2.186263,2.186811,0.066375,2.399186,-0.544045,2
BN-dv_Os,76,8,6,8,2.2,1.1,8.5,8.4382,1.36,3306,5285,22610,190.23,201,1.65844,2.520459,1.99113,1.991846,2.144636,2.147562,0.066095,2.069883,-0.796475,2
BN-dv_Ir,77,9,6,9,2.2,1.5644,7.6,8.967,1.32,2739,4701,22650,192.22,202,1.661873,1.56256,2.000655,2.013635,2.100544,2.113386,0.063932,2.162871,-1.127803,2
BN-dv_Pt,78,10,6,10,2.28,2.1251,6.5,8.9588,1.3,2041.4,4098,21090,195.08,203,1.63486,1.500054,2.011336,2.068127,2.074254,2.103407,0.069458,1.727022,-0.996947,2
BN-dv_Au,79,11,6,11,2.54,2.3086,5.8,9.2255,1.3,1337.33,3129,19300,196.97,204,1.656501,1.382131,1.995665,2.061311,2.092367,2.178388,0.068413,1.885626,-0.588,2
g-C3N4_Sc,21,3,4,3,1.36,0.188,17.8,6.5615,1.59,1814,3103,2985,44.956,268,1.801048,3.021906,2.382469,2.389721,2.399811,2.39985,0.083274,1.152549,-0.139641,1
g-C3N4_Ti,22,4,4,4,1.54,0.084,14.6,6.8281,1.48,1941,3560,4507,47.867,269,1.688362,2.765543,2.259188,2.283346,2.331299,2.402645,0.092041,1.059966,0.118077,1
g-C3N4_V ,23,5,4,5,1.63,0.5277,12.4,6.7462,1.44,2183,3680,6110,50.942,270,1.645211,2.683292,2.095686,2.146252,2.322133,2.556019,0.106273,1.182709,0.324574,2
g-C3N4_Cr,24,6,4,6,1.66,0.6758,11.6,6.7665,1.3,2180,2944,7140,51.996,269,1.622856,2.855394,2.264119,2.341986,2.344082,2.466402,0.10599,1.00821,0.586692,2
g-C3N4_Mn,25,7,4,7,1.55,-0.52,9.4,7.434,1.29,1519,2334,7470,54.938,270,1.670855,3.102267,2.371104,2.422533,2.484491,2.494335,0.107977,1.004048,0.52623,2
g-C3N4_Fe,26,8,4,8,1.83,0.1532,8.4,7.9024,1.24,1811,3134,7874,55.845,265,1.608823,2.978093,2.146464,2.166081,2.424247,2.612169,0.11924,1.053607,0.575848,2
g-C3N4_Co,27,9,4,9,1.88,0.6623,7.5,7.881,1.18,1768,3200,8900,58.933,266,1.546413,2.725494,1.973442,1.977133,2.537773,2.601074,0.166327,1.219144,0.531528,2
g-C3N4_Ni,28,10,4,10,1.91,1.1572,6.8,7.6398,1.17,1728,3186,8908,58.693,267,1.519066,2.815472,1.957833,1.983785,2.565274,2.571832,0.169467,1.145896,0.861467,2
g-C3N4_Cu,29,11,4,11,1.9,1.2358,6.2,7.7264,1.22,1357.77,3200,8920,63.546,268,1.496893,3.35344,1.949588,2.413626,2.785862,2.912509,0.203644,1.061138,0.577664,2
g-C3N4_Zn,30,12,4,12,1.65,-0.62,5.75,9.3942,1.2,692.68,1180,7140,65.38,269,1.517048,3.168483,2.034385,2.100883,2.740612,2.752186,0.185687,1.033647,-0.293667,2
g-C3N4_Y ,39,3,5,3,1.22,0.307,22.7,6.2173,1.76,1799,3618,4472,88.906,268,1.970304,3.201554,2.43074,2.433647,2.453273,2.453729,0.064392,2.074095,-0.07968,0
g-C3N4_Zr,40,4,5,4,1.33,0.4333,17.9,6.6339,1.64,2128,4682,6511,91.224,269,1.830452,3.015154,2.350694,2.353276,2.367989,2.373395,0.075331,1.389239,-0.328367,2
g-C3N4_Nb,41,5,5,5,1.6,0.9174,15.7,6.7589,1.56,2750,5017,8570,92.906,270,1.737595,2.896784,2.346225,2.347369,2.350943,2.35238,0.08789,1.082285,-0.178776,1
g-C3N4_Mo,42,6,5,6,2.16,0.7473,12.8,7.0924,1.46,2896,4912,10280,95.95,271,1.655446,2.831831,2.330861,2.332414,2.33433,2.334658,0.098673,1.015176,-0.327978,2
g-C3N4_Tc,43,7,5,7,1.9,0.55,11.4,7.28,1.38,2430,4538,11500,98,270,1.604888,2.497726,2.020564,2.025234,2.518576,2.603612,0.150942,1.303836,-0.317703,2
g-C3N4_Ru,44,8,5,8,2.2,1.0464,9.6,7.3605,1.36,2607,4423,12370,101.07,271,1.556945,2.473187,1.969314,1.972843,2.630801,2.66959,0.1816,1.273681,-0.245395,2
g-C3N4_Rh,45,9,5,9,2.28,1.1429,8.6,7.4589,1.34,2237,3968,12450,102.91,272,1.520586,2.563635,2.080291,2.221289,2.50288,2.660724,0.144447,1.013211,0.650381,2
g-C3N4_Pd,46,10,5,10,2.2,0.5621,4.8,8.3369,1.3,1828.05,3236,12023,106.42,267,1.516907,2.273078,2.099219,2.232867,2.554461,2.658487,0.146204,1.008481,0.548867,2
